Protein.Group,log2FC,AveExpr,t,P.Value,adj.P.Val,B,Abundance,Blast_KOALA_KO,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,EggNOG_KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,Protein.Names,Gene.Names,Given_name
SymbC1.scaffold12138.1,-1.765950962,24.57118788,2.831979758,0.00773665,0.169355881,-2.577695098,no difference,K00208,2850.Phatr10068,6.05E-130,376,"COG1028@1|root,KOG0725@2759|Eukaryota,2XAYG@2836|Bacillariophyta",2836|Bacillariophyta,Q,Enoyl-(Acyl carrier protein) reductase,-,-,"1.3.1.10,1.3.1.9",ko:K00208,"ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212","M00083,M00572","R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671","RC00052,RC00076,RC00120","ko00000,ko00001,ko00002,ko01000,ko01004",-,-,-,adh_short_C2,NA,NA,SymbC1.scaffold12138.1
SymbC1.scaffold5350.2,-2.626090817,23.97597765,2.815609743,0.008061837,0.173327089,-2.613728908,no difference,,91464.S7335_5145,1.92E-57,207,"COG0739@1|root,COG0739@2|Bacteria,1GHBC@1117|Cyanobacteria,1GYNU@1129|Synechococcus",1117|Cyanobacteria,C,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",petA,-,-,ko:K02634,"ko00195,ko01100,map00195,map01100",M00162,-,-,"ko00000,ko00001,ko00002,ko00194",-,-,-,"Apocytochr_F_C,Apocytochr_F_N",NA,NA,petA
SymbC1.scaffold143.13,-3.35388993,19.92439353,2.874983014,0.011089712,0.196329396,-2.635914705,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold143.13
SymbC1.scaffold5187.2,-2.088213879,28.21331759,2.776335826,0.008894833,0.180662465,-2.699668753,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5187.2
SymbC1.scaffold5018.4,2.062511858,20.97124637,-2.770939374,0.011196759,0.196729034,-2.713715478,no difference,K02889,29176.XP_003885895.1,1.25E-54,176,"COG2139@1|root,KOG1732@2759|Eukaryota,3YA8K@5794|Apicomplexa,3YKG6@5796|Coccidia,3YRVT@5809|Sarcocystidae",5794|Apicomplexa,J,ribosomal protein,-,-,-,ko:K02889,"ko03010,map03010","M00177,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L21e,NA,NA,SymbC1.scaffold5018.4
SymbC1.scaffold995.3,-1.711412444,22.58734111,2.764744295,0.009827853,0.1892557,-2.718323719,no difference,K00106,529818.AMSG_10938T0,1.28E-162,520,"COG4631@1|root,KOG0430@2759|Eukaryota",2759|Eukaryota,C,xanthine catabolic process,-,-,"1.17.1.4,1.17.3.2,1.2.3.1","ko:K00106,ko:K00157","ko00230,ko00232,ko00280,ko00350,ko00380,ko00750,ko00760,ko00830,ko00982,ko00983,ko01100,ko01110,ko01120,ko04146,ko04630,map00230,map00232,map00280,map00350,map00380,map00750,map00760,map00830,map00982,map00983,map01100,map01110,map01120,map04146,map04630",M00546,"R01709,R01768,R01769,R02103,R02107,R02125,R02657,R03871,R04085,R04904,R07942,R07977,R07978,R07979,R08235,R08349,R08384,R08408","RC00075,RC00080,RC00143,RC00218,RC00242,RC01073,RC01074,RC02017,RC02199","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Ald_Xan_dh_C,Ald_Xan_dh_C2,CO_deh_flav_C,FAD_binding_5,Fer2,Fer2_2",NA,NA,SymbC1.scaffold995.3
SymbC1.scaffold407.4;SymbC1.scaffold407.5;SymbC1.scaffold407.6;SymbC1.scaffold407.7;SymbC1.scaffold6978.1;SymbC1.scaffold7475.4,-6.496171759,20.89383209,3.390057753,0.008226095,0.174010842,-2.722006949,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold407.4
SymbC1.scaffold1764.4,-3.794270533,20.72083899,2.770385986,0.01269075,0.20827127,-2.7670344,no difference,K17302,44056.XP_009039569.1,1.40E-252,764,"KOG0276@1|root,KOG0276@2759|Eukaryota",2759|Eukaryota,U,"The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins",-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005798,GO:0006810,GO:0006886,GO:0006888,GO:0006890,GO:0006891,GO:0008104,GO:0008150,GO:0012505,GO:0012506,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0030117,GO:0030120,GO:0030126,GO:0030135,GO:0030137,GO:0030659,GO:0030660,GO:0030662,GO:0030663,GO:0031090,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048475,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0097708,GO:0098588,GO:0098796,GO:0098805",-,ko:K17302,-,-,-,-,"ko00000,ko04131,ko04147",-,-,-,"Coatomer_WDAD,WD40",NA,NA,SymbC1.scaffold1764.4
SymbC1.scaffold2622.1,2.878943587,19.57475785,-2.759805237,0.014055131,0.216290261,-2.820514987,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2622.1
SymbC1.scaffold5660.2,2.594298814,17.92403734,-2.795443295,0.014445754,0.218666287,-2.830766096,no difference,K15103,65672.G4TVJ6,1.62E-20,97.1,"KOG0754@1|root,KOG0754@2759|Eukaryota,38CTW@33154|Opisthokonta,3NUWJ@4751|Fungi,3UYWB@5204|Basidiomycota,226HA@155619|Agaricomycetes,3H1XX@355688|Agaricomycetes incertae sedis",4751|Fungi,C,Belongs to the mitochondrial carrier (TC 2.A.29) family,-,"GO:0003674,GO:0005215,GO:0005310,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006820,GO:0006835,GO:0006839,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015139,GO:0015318,GO:0015711,GO:0015742,GO:0015849,GO:0016020,GO:0016021,GO:0019866,GO:0022857,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055085,GO:0071702,GO:0098656,GO:1903825,GO:1905039,GO:1990542,GO:1990550,GO:1990551",-,ko:K15110,-,-,-,-,"ko00000,ko02000","2.A.29.2.4,2.A.29.2.5,2.A.29.2.8",-,"iMM904.YPL134C,iND750.YPL134C",Mito_carr,NA,NA,SymbC1.scaffold5660.2
SymbC1.scaffold5689.1,-1.886224482,21.53366165,2.710278421,0.011035904,0.195887302,-2.839385535,no difference,K03798,167546.P9301_02481,1.47E-189,549,"COG0465@1|root,COG0465@2|Bacteria,1G1BT@1117|Cyanobacteria,1MKU4@1212|Prochloraceae",1117|Cyanobacteria,D,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins",ftsH2,"GO:0003674,GO:0003824,GO:0004176,GO:0006091,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0031323,GO:0031324,GO:0042548,GO:0042623,GO:0043155,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1905156",-,ko:K03798,-,M00742,-,-,"ko00000,ko00002,ko01000,ko01002,ko03110",-,-,-,"AAA,FtsH_ext,Peptidase_M41",NA,NA,ftsH2
SymbC1.scaffold6142.3,-6.69963395,19.12002809,3.486929372,0.010586172,0.192940244,-2.871089371,no difference,,1536772.R70723_02020,4.52E-135,416,"COG5520@1|root,COG5520@2|Bacteria,1TS99@1239|Firmicutes,4HEUA@91061|Bacilli,275QB@186822|Paenibacillaceae",91061|Bacilli,M,Belongs to the glycosyl hydrolase 30 family,-,-,3.2.1.45,ko:K01201,"ko00511,ko00600,ko01100,ko04142,map00511,map00600,map01100,map04142",-,R01498,"RC00059,RC00451","ko00000,ko00001,ko01000",-,GH30,-,"Glyco_hydro_30,Glyco_hydro_30C",NA,NA,SymbC1.scaffold6142.3
SymbC1.scaffold5535.3,-1.625249204,21.76768751,2.688060492,0.011197679,0.196729034,-2.886916105,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5535.3
SymbC1.scaffold1541.4,2.490051554,19.60078206,-2.67469739,0.015547869,0.225886739,-2.922836987,no difference,K04499,65071.PYU1_T002395,3.88E-224,639,"COG1224@1|root,KOG1942@2759|Eukaryota,1MFKK@121069|Pythiales",121069|Pythiales,L,Holliday junction ATP-dependent DNA helicase ruvB. Source PGD,-,-,-,-,-,-,-,-,-,-,-,-,TIP49,NA,NA,SymbC1.scaffold1541.4
SymbC1.scaffold124.7,-1.966121133,23.14324512,2.666627198,0.011666121,0.201523179,-2.935805609,no difference,,28532.XP_010526362.1,1.92E-22,97.8,"COG0545@1|root,KOG0552@2759|Eukaryota,37T0E@33090|Viridiplantae,3G7HW@35493|Streptophyta,3HTXD@3699|Brassicales",35493|Streptophyta,O,Peptidyl-prolyl cis-trans isomerase,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009532,GO:0009534,GO:0009536,GO:0009543,GO:0009570,GO:0009579,GO:0031976,GO:0031977,GO:0031978,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464",5.2.1.8,ko:K01802,-,-,-,-,"ko00000,ko01000",-,-,-,FKBP_C,NA,NA,SymbC1.scaffold124.7
SymbC1.scaffold2144.5,7.181548614,19.33998537,-3.747242623,0.010068049,0.191571197,-2.971501045,no difference,K05610,5811.TGME49_047240,4.13E-74,242,"KOG2778@1|root,KOG2778@2759|Eukaryota,3YA9U@5794|Apicomplexa,3YIHY@5796|Coccidia,3YTA0@5809|Sarcocystidae",5794|Apicomplexa,O,Ubiquitin carboxyl-terminal hydrolase,-,-,3.4.19.12,ko:K05610,-,-,-,-,"ko00000,ko01000,ko01002,ko04121",-,-,-,Peptidase_C12,NA,NA,SymbC1.scaffold2144.5
SymbC1.scaffold9600.2;SymbC1.scaffold9600.4,-5.526130032,22.44660901,2.631409747,0.016525331,0.232711684,-2.992199114,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold9600.2
SymbC1.scaffold3718.1,-2.425532696,27.17478295,2.634797771,0.012608821,0.20827127,-3.003197864,no difference,,2880.D8LNK6,2.59E-53,198,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold3718.1
SymbC1.scaffold4113.3,1.65480724,20.12705634,-2.613840062,0.01356058,0.21491135,-3.038887414,no difference,,69293.ENSGACP00000016426,9.49E-28,130,"KOG1676@1|root,KOG1676@2759|Eukaryota,38H75@33154|Opisthokonta,3BHJ2@33208|Metazoa,3CTFY@33213|Bilateria,4872V@7711|Chordata,492GI@7742|Vertebrata,49UUT@7898|Actinopterygii",33208|Metazoa,A,KH-type splicing regulatory protein,KHSRP,"GO:0000003,GO:0000375,GO:0000381,GO:0001505,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006417,GO:0006725,GO:0006807,GO:0007276,GO:0007283,GO:0008150,GO:0008152,GO:0008380,GO:0009056,GO:0009057,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010494,GO:0010556,GO:0010558,GO:0010586,GO:0010604,GO:0010605,GO:0010608,GO:0010629,GO:0010984,GO:0010985,GO:0010988,GO:0010989,GO:0016070,GO:0016071,GO:0017091,GO:0017148,GO:0019219,GO:0019222,GO:0019439,GO:0019953,GO:0022414,GO:0030425,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031329,GO:0031331,GO:0031974,GO:0031981,GO:0032268,GO:0032269,GO:0032501,GO:0032504,GO:0032991,GO:0033119,GO:0034097,GO:0034248,GO:0034249,GO:0034641,GO:0034655,GO:0034660,GO:0035770,GO:0035925,GO:0036464,GO:0036477,GO:0042221,GO:0042995,GO:0043005,GO:0043025,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043484,GO:0043487,GO:0043488,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044297,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0045019,GO:0045428,GO:0045934,GO:0045935,GO:0046483,GO:0046700,GO:0048024,GO:0048025,GO:0048232,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048609,GO:0050684,GO:0050686,GO:0050779,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051239,GO:0051241,GO:0051246,GO:0051248,GO:0051252,GO:0051253,GO:0051254,GO:0051704,GO:0051716,GO:0060255,GO:0061013,GO:0061014,GO:0061157,GO:0061158,GO:0065007,GO:0065008,GO:0070013,GO:0070887,GO:0071310,GO:0071345,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097447,GO:0097458,GO:0120025,GO:0120038,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1903311,GO:1903312,GO:1903313,GO:1903426,GO:1903427,GO:1904406,GO:1990904,GO:2000112,GO:2000113,GO:2000377,GO:2000378,GO:2000628",-,ko:K13210,-,-,-,-,"ko00000,ko03019,ko03041",-,-,-,"DUF1897,KH_1",NA,NA,KHSRP
SymbC1.scaffold251.9,-1.794852823,21.77561422,2.601830647,0.013659082,0.215299618,-3.072453336,no difference,,1169154.KB897781_gene5422,6.01E-68,236,"COG1228@1|root,COG1228@2|Bacteria,2GMUS@201174|Actinobacteria",201174|Actinobacteria,Q,amidohydrolase,-,-,-,-,-,-,-,-,-,-,-,-,Amidohydro_1,NA,NA,SymbC1.scaffold251.9
SymbC1.scaffold1472.1,-5.943375165,19.13587485,2.659211466,0.019850167,0.250975117,-3.076826916,no difference,,1291050.JAGE01000001_gene1428,8.62E-48,186,"COG0367@1|root,COG0367@2|Bacteria",2|Bacteria,E,asparagine synthase,asnB,-,"6.3.3.6,6.3.5.4","ko:K01953,ko:K18316","ko00250,ko00332,ko01100,ko01110,ko01130,ko02024,map00250,map00332,map01100,map01110,map01130,map02024",M00675,"R00578,R10556","RC00010,RC03195","ko00000,ko00001,ko00002,ko01000,ko01002",-,-,-,"Asn_synthase,GATase_7",NA,NA,asnB
SymbC1.scaffold12627.2,-2.755757585,24.68595583,2.588050934,0.01496202,0.223336186,-3.080001197,no difference,K04564,44056.XP_009038137.1,2.73E-93,281,"COG0605@1|root,KOG0876@2759|Eukaryota",2759|Eukaryota,P,"oxidoreductase activity, acting on superoxide radicals as acceptor",-,-,1.15.1.1,ko:K04564,"ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"Sod_Fe_C,Sod_Fe_N",NA,NA,SymbC1.scaffold12627.2
SymbC1.scaffold6056.1,2.081305471,21.41222093,-2.59302538,0.013952952,0.216290261,-3.090855844,no difference,,29176.XP_003885719.1,9.01E-46,180,"COG0443@1|root,KOG0103@2759|Eukaryota,3Y9KF@5794|Apicomplexa,3YKTM@5796|Coccidia,3YT6P@5809|Sarcocystidae",5794|Apicomplexa,F,Belongs to the heat shock protein 70 family,-,-,-,ko:K09489,"ko04530,ko04612,map04530,map04612",-,-,-,"ko00000,ko00001,ko03110",1.A.33,-,-,HSP70,NA,NA,SymbC1.scaffold6056.1
SymbC1.scaffold5611.1,-3.491378421,26.98683989,2.575375585,0.015217711,0.225095312,-3.116493805,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold5611.1
SymbC1.scaffold2826.1,-6.26654139,25.04235598,2.558531034,0.015474391,0.225507396,-3.156087651,no difference,,44056.XP_009035731.1,4.10E-10,68.2,"2CDPH@1|root,2S3EU@2759|Eukaryota",2759|Eukaryota,U,Chlorophyll A-B binding protein,-,-,-,-,-,-,-,-,-,-,-,-,Chloroa_b-bind,NA,NA,SymbC1.scaffold2826.1
SymbC1.scaffold3744.1,-2.064173182,21.11291652,2.529765023,0.023258106,0.265226866,-3.215198267,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold3744.1
SymbC1.scaffold2797.3,1.510484089,19.37646369,-2.492308736,0.020780805,0.25476768,-3.239078388,no difference,,5855.PVX_091375,2.03E-102,325,"KOG0667@1|root,KOG0670@2759|Eukaryota,3YAB1@5794|Apicomplexa,3KA9B@422676|Aconoidasida,3YX18@5819|Haemosporida",422676|Aconoidasida,T,Protein tyrosine kinase,-,"GO:0000245,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006139,GO:0006376,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006873,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0010468,GO:0016043,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019219,GO:0019222,GO:0019538,GO:0019725,GO:0022607,GO:0022613,GO:0022618,GO:0023052,GO:0030003,GO:0031323,GO:0032386,GO:0032388,GO:0032879,GO:0032880,GO:0033157,GO:0034622,GO:0034641,GO:0035556,GO:0036211,GO:0042221,GO:0042306,GO:0042307,GO:0042493,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046483,GO:0046822,GO:0046824,GO:0048518,GO:0048878,GO:0050684,GO:0050789,GO:0050794,GO:0050801,GO:0050896,GO:0051049,GO:0051050,GO:0051171,GO:0051222,GO:0051223,GO:0051252,GO:0051716,GO:0055080,GO:0055082,GO:0060255,GO:0060341,GO:0065003,GO:0065007,GO:0065008,GO:0070201,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090087,GO:0090304,GO:0090316,GO:0140096,GO:1900180,GO:1900182,GO:1901360,GO:1901564,GO:1903311,GO:1903827,GO:1903829,GO:1904589,GO:1904591,GO:1904951",2.7.11.1,ko:K08827,-,-,-,-,"ko00000,ko01000,ko01001,ko03041",-,-,-,Pkinase,NA,NA,SymbC1.scaffold2797.3
SymbC1.scaffold714.1,1.470027744,19.46550931,-2.505241017,0.017550953,0.239085374,-3.26067283,no difference,K03696,554065.XP_005844402.1,5.58E-279,810,"COG0542@1|root,KOG1051@2759|Eukaryota,37RK8@33090|Viridiplantae,34GR4@3041|Chlorophyta",3041|Chlorophyta,O,Belongs to the ClpA ClpB family,-,-,-,ko:K03696,"ko01100,map01100",-,-,-,"ko00000,ko03110",-,-,-,"AAA,AAA_2,ClpB_D2-small,Clp_N,UVR",NA,NA,SymbC1.scaffold714.1
SymbC1.scaffold7547.3,1.593915911,21.05280629,-2.492085854,0.018701506,0.2473379,-3.270498783,no difference,,248742.XP_005648013.1,1.17E-106,354,"COG0513@1|root,KOG0335@2759|Eukaryota,37JVS@33090|Viridiplantae,34GS4@3041|Chlorophyta",3041|Chlorophyta,A,Belongs to the DEAD box helicase family,-,-,3.6.4.13,ko:K11594,"ko04622,ko05161,ko05203,map04622,map05161,map05203",-,-,-,"ko00000,ko00001,ko01000,ko03019,ko03036,ko03041",-,-,-,"DEAD,Helicase_C",NA,NA,SymbC1.scaffold7547.3
SymbC1.scaffold3049.2,-5.888204479,20.95598996,2.523318544,0.026995689,0.281866754,-3.286659205,no difference,,4006.Lus10004410,1.26E-08,62.8,"2CMEZ@1|root,2QQ6D@2759|Eukaryota,37IU2@33090|Viridiplantae,3GF61@35493|Streptophyta",33090|Viridiplantae,S,thaumatin-like protein,-,-,-,-,-,-,-,-,-,-,-,-,Thaumatin,NA,NA,SymbC1.scaffold3049.2
SymbC1.scaffold15227.1,-2.035839684,21.79240717,2.496734383,0.017569042,0.239085374,-3.289422584,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold15227.1
SymbC1.scaffold1799.1,5.279846817,21.09871698,-2.569003999,0.028299674,0.283936447,-3.293041724,no difference,,44056.XP_009036043.1,1.78E-102,351,"COG1012@1|root,KOG2454@2759|Eukaryota",2759|Eukaryota,C,aldehyde dehydrogenase (NAD) activity,MSC7,"GO:0000003,GO:0000280,GO:0003674,GO:0003824,GO:0004029,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0006139,GO:0006259,GO:0006310,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016043,GO:0016491,GO:0016620,GO:0016903,GO:0022402,GO:0022414,GO:0031224,GO:0034641,GO:0035825,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0046483,GO:0048285,GO:0051321,GO:0055114,GO:0061982,GO:0071704,GO:0071840,GO:0090304,GO:0140013,GO:1901360,GO:1903046","1.2.1.3,2.3.2.27","ko:K00128,ko:K10661","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,ko04141,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130,map04141",M00135,"R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146","RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500","ko00000,ko00001,ko00002,ko01000,ko04121",-,-,-,Aldedh,NA,NA,MSC7
SymbC1.scaffold3428.5,3.928832835,18.57415102,-2.470151423,0.02716291,0.282317254,-3.307183412,no difference,,2903.EOD03939,6.16E-57,213,"2B0UY@1|root,2S08V@2759|Eukaryota",2759|Eukaryota,S,K homology RNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,KH_1,NA,NA,SymbC1.scaffold3428.5
SymbC1.scaffold715.10,-3.61089189,23.01839042,2.457880461,0.020230483,0.251801666,-3.337326781,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold715.10
SymbC1.scaffold2539.6,-4.118426036,20.60852251,2.421854267,0.026335167,0.280467133,-3.353804959,no difference,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SymbC1.scaffold2539.6
SymbC1.scaffold3996.1,3.648430349,19.10174666,-2.389717104,0.02812774,0.283936447,-3.389368519,no difference,K00013,88036.EFJ27113,3.26E-151,455,"COG0141@1|root,KOG2697@2759|Eukaryota,37Q6A@33090|Viridiplantae,3GEXV@35493|Streptophyta",35493|Streptophyta,E,Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine,HDH,"GO:0000105,GO:0003674,GO:0003824,GO:0004399,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009314,GO:0009411,GO:0009416,GO:0009507,GO:0009532,GO:0009536,GO:0009555,GO:0009570,GO:0009628,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019752,GO:0032501,GO:0032502,GO:0034641,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046483,GO:0048229,GO:0048856,GO:0050896,GO:0052803,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.1.1.23,ko:K00013,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,"R01158,R01163,R03012","RC00099,RC00242,RC00463","ko00000,ko00001,ko00002,ko01000",-,-,-,Histidinol_dh,NA,NA,HDH
